Variable:,pr
,Sweden,"Blekinge Laen","Dalarnas Laen","Gaevleborgs Laen","Gotlands Laen","Hallands Laen","Jaemtlands Laen","Joenkoepings Laen","Kalmar Laen","Kronobergs Laen","Norrbottens Laen","Oerebro Laen","Oestergoetlands Laen","Skaane Laen","Soedermanlands Laen","Stockholms Laen","Uppsala Laen","Vaermlands Laen","Vaesterbottens Laen","Vaesternorrlands Laen","Vaestmanlands Laen","Vaestra Goetalands Laen"
1970,599.78,675.92,638.35,608.66,612.07,766.98,622.56,690.50,632.53,737.68,518.58,641.20,577.58,744.44,514.25,464.97,482.19,675.04,584.43,629.45,550.68,658.25
1971,590.20,468.35,589.25,532.65,423.67,669.06,652.05,555.44,426.55,543.29,576.66,568.22,458.41,570.12,437.41,427.83,455.27,639.60,678.47,565.06,499.74,653.68
1972,581.35,493.08,574.83,514.61,470.56,651.22,566.86,587.82,482.23,567.73,606.90,572.33,504.86,548.54,463.14,434.12,444.59,639.93,624.15,548.68,494.53,661.68
1973,609.86,553.48,631.97,587.68,485.45,649.07,684.12,575.57,513.60,605.12,602.35,553.27,475.95,611.13,455.78,446.62,485.50,595.67,698.38,584.31,537.48,585.02
1974,658.05,617.30,694.90,691.48,676.42,763.82,625.81,678.88,613.77,687.51,614.21,693.53,619.06,682.78,628.41,630.74,639.59,731.92,660.52,698.35,659.31,718.40
1975,572.22,458.05,542.14,486.20,378.01,590.92,609.51,524.64,423.12,535.21,657.75,501.58,425.78,523.09,402.39,383.93,419.46,569.84,646.32,482.49,461.34,549.23
1976,489.18,489.42,513.55,504.21,497.59,555.67,532.94,509.39,495.36,536.83,426.59,509.69,468.45,507.20,443.82,412.27,433.67,523.27,501.35,503.81,470.73,535.81
1977,668.73,641.72,726.62,702.66,568.79,819.16,609.35,746.43,606.24,734.91,610.44,786.38,649.42,691.51,631.60,586.64,627.13,772.06,649.67,660.63,696.55,815.34
1978,561.00,551.26,541.03,543.35,517.86,705.05,592.67,648.43,531.36,645.78,524.86,545.25,538.16,626.56,506.80,472.66,480.24,543.82,585.97,565.26,511.27,601.91
1979,670.67,605.13,737.22,714.80,542.46,773.47,686.33,693.25,588.52,691.12,600.54,739.18,607.48,668.87,590.98,531.49,596.18,761.03,682.26,712.51,679.23,750.50
1980,602.82,622.85,710.96,671.55,611.02,846.25,608.95,731.95,612.17,726.00,454.32,696.34,624.90,752.60,630.64,592.83,629.61,700.67,547.93,628.17,691.53,719.90
1981,690.32,662.70,749.97,752.35,602.95,837.72,678.34,715.65,615.65,750.03,648.96,712.27,611.85,789.56,610.95,594.70,643.36,717.11,684.63,724.08,686.06,740.68
1982,604.29,529.24,632.49,586.40,425.37,757.95,566.46,593.34,462.87,616.45,607.89,605.88,479.62,658.57,468.09,430.79,475.14,708.48,645.68,561.76,550.27,700.57
1983,678.84,577.77,661.62,664.03,492.31,756.92,741.74,621.56,506.14,656.35,708.85,650.18,522.81,694.22,546.62,511.42,553.68,638.71,744.00,674.85,626.05,653.95
1984,656.70,629.47,758.29,706.78,619.84,759.32,661.47,690.88,643.15,707.79,569.94,735.26,627.56,683.58,620.36,574.12,626.55,766.58,643.47,680.14,687.59,712.54
1985,720.26,676.10,803.79,751.14,625.03,865.34,780.23,784.37,678.61,776.51,642.21,747.77,677.49,757.20,583.35,519.20,561.63,818.85,709.61,741.21,641.85,798.31
