Variable:,tas
,China,"Anhui Sheng","Beijing Shi","Chongqing Shi","Fujian Sheng","Gansu Sheng","Guangdong Sheng","Guangxi Zhuangzu Zizhiqu","Guizhou Sheng","Hainan Sheng","Hebei Sheng","Heilongjiang Sheng","Henan Sheng","Hubei Sheng","Hunan Sheng","Jiangsu Sheng","Jiangxi Sheng","Jilin Sheng","Liaoning Sheng","Nei Mongol Zizhiqu","Ningxia Huizu Zizhiqu","Qinghai Sheng","Shaanxi Sheng","Shandong Sheng","Shanghai Shi","Shanxi Sheng","Sichuan Sheng","Tianjin Shi","Xinjiang Uygur Zizhiqu","Xizang Zizhiqu","Yunnan Sheng","Zhejiang Sheng"
2000,7.08,16.01,10.25,15.61,18.42,5.49,21.26,20.06,14.94,24.20,9.59,1.07,14.84,15.71,16.63,15.32,18.00,4.38,7.84,3.90,7.82,-2.46,10.87,13.62,16.43,8.94,8.68,13.07,6.37,-2.43,15.15,16.44
2001,7.44,16.13,10.67,16.10,18.64,5.94,21.41,20.25,15.36,24.31,9.85,1.43,15.05,16.03,16.96,15.40,18.21,4.67,8.05,4.28,8.25,-1.97,11.27,13.69,16.58,9.27,9.20,13.24,6.72,-1.99,15.58,16.60
2002,7.65,16.46,10.96,16.27,18.95,6.06,21.73,20.56,15.57,24.62,10.22,2.05,15.36,16.23,17.15,15.76,18.48,5.17,8.52,4.76,8.32,-1.88,11.43,14.11,16.80,9.54,9.35,13.57,6.86,-2.18,15.69,16.90
2003,7.35,15.90,10.00,15.96,18.87,5.79,21.72,20.73,15.66,24.75,9.31,2.15,14.49,15.74,17.04,15.07,18.34,5.37,8.30,4.18,7.86,-1.73,10.79,13.21,16.44,8.63,9.43,12.73,6.03,-2.05,15.81,16.69
2004,7.61,16.50,10.98,16.01,18.70,5.84,21.38,20.27,15.29,24.28,10.22,2.12,15.28,16.21,17.12,15.80,18.34,5.58,8.80,4.74,7.99,-1.91,11.16,14.13,16.95,9.39,8.92,13.62,6.97,-2.00,15.25,16.83
2005,7.30,16.01,10.40,15.93,18.45,5.71,21.22,20.20,15.37,24.16,9.67,1.41,14.89,15.87,16.81,15.27,18.07,4.43,7.72,4.09,7.87,-1.81,10.95,13.52,16.48,9.09,9.27,13.04,6.23,-1.95,15.84,16.49
2006,7.82,16.66,10.96,16.56,18.92,6.35,21.64,20.66,15.81,24.61,10.27,1.32,15.61,16.55,17.38,15.91,18.56,4.79,8.22,4.45,8.59,-1.23,11.69,14.13,17.01,9.80,9.61,13.61,7.10,-1.43,15.91,17.01
2007,8.02,16.87,11.42,16.38,19.15,6.14,21.67,20.47,15.61,24.39,10.60,2.78,15.61,16.60,17.47,16.13,18.77,5.93,8.97,5.41,8.35,-1.60,11.54,14.38,17.28,9.85,9.34,13.93,7.32,-1.53,15.53,17.26
2008,7.47,16.11,10.67,15.86,18.54,5.58,20.98,19.78,15.03,23.64,9.91,2.61,14.99,16.00,16.85,15.36,18.16,5.68,8.53,4.74,7.82,-2.18,10.99,13.73,16.54,9.20,8.87,13.18,6.77,-2.09,15.25,16.55
2009,7.64,16.25,10.70,16.24,18.83,6.13,21.53,20.59,15.78,24.36,9.93,1.11,15.11,16.17,17.26,15.51,18.41,4.41,7.96,4.23,8.27,-1.33,11.25,13.80,16.64,9.37,9.61,13.28,6.74,-1.27,16.05,16.74
2010,7.40,15.88,10.10,15.98,18.53,6.09,21.25,20.37,15.54,24.20,9.46,0.91,14.89,15.85,16.86,15.18,18.05,4.00,7.32,3.67,8.22,-1.33,11.11,13.42,16.35,9.12,9.45,12.75,6.50,-1.33,16.09,16.42
2011,7.22,15.62,10.12,15.79,18.29,5.82,20.74,19.66,15.09,23.45,9.40,1.51,14.52,15.61,16.58,14.94,17.77,4.47,7.61,4.03,7.85,-1.70,10.80,13.22,16.15,8.82,9.09,12.77,6.42,-1.94,15.38,16.21
2012,6.94,15.63,9.63,15.62,18.38,5.35,21.05,19.96,15.10,23.97,9.05,0.87,14.55,15.51,16.41,14.95,17.80,4.00,7.33,3.28,7.56,-2.18,10.71,13.18,16.14,8.61,9.05,12.54,5.91,-2.07,15.79,16.23
2013,7.56,16.28,10.31,16.55,18.82,6.23,21.22,20.26,15.75,24.01,9.62,1.15,15.21,16.32,17.19,15.54,18.31,4.31,7.64,4.24,8.47,-1.64,11.54,13.60,16.80,9.28,9.45,12.89,7.09,-1.97,15.79,16.80
2014,7.55,16.31,11.38,15.93,18.93,5.89,21.62,20.50,15.54,24.49,10.58,1.85,15.08,15.91,16.92,15.74,18.34,5.28,8.79,5.02,8.24,-1.97,11.11,14.36,16.78,9.75,9.20,13.82,6.15,-1.97,15.87,16.87
2015,7.80,16.16,11.06,16.19,19.02,6.22,21.92,20.91,15.84,25.04,10.30,2.29,14.99,15.95,17.11,15.63,18.35,5.49,8.77,5.00,8.41,-1.81,11.21,14.19,16.82,9.55,9.31,13.65,7.19,-1.93,15.92,16.86
2016,7.79,16.60,10.98,16.33,19.25,6.31,21.81,20.69,15.78,24.68,10.29,1.26,15.33,16.29,17.26,16.04,18.64,4.88,8.57,4.42,8.44,-1.48,11.35,14.42,17.25,9.63,9.47,13.67,7.10,-1.40,15.81,17.28
2017,7.94,16.75,11.50,16.22,19.31,6.46,21.89,20.63,15.63,24.58,10.78,2.10,15.51,16.36,17.28,16.17,18.72,5.38,8.81,5.15,8.62,-1.41,11.45,14.64,17.22,10.00,9.38,14.11,7.04,-1.51,15.68,17.30
2018,7.58,16.62,10.94,16.20,19.24,5.86,21.84,20.57,15.58,24.52,10.27,1.92,15.37,16.28,17.23,15.97,18.67,5.14,8.41,4.72,8.19,-1.96,11.25,14.29,17.09,9.64,9.27,13.57,6.33,-1.82,15.56,17.15
2019,7.85,16.73,11.22,16.25,19.41,6.10,22.19,21.04,15.92,25.22,10.55,2.36,15.47,16.25,17.29,16.16,18.77,5.82,9.08,4.94,8.36,-1.83,11.30,14.64,17.20,9.77,9.42,13.96,6.87,-1.93,16.19,17.29
2020,7.76,16.65,10.78,16.14,19.56,6.04,22.21,20.92,15.74,25.06,10.19,2.49,15.23,16.19,17.29,16.02,18.87,5.61,8.76,4.87,8.26,-1.86,11.15,14.35,17.21,9.47,9.33,13.62,6.79,-1.96,15.93,17.41
